imdb_code,title,return_pct,Adult,Talk-Show,News,Sport,Music,War,Biography,History,Musical,Mystery,Romance,Horror,Short,Documentary,Western,Crime,Family,Comedy,Animation,N/A,Thriller,Sci-Fi,Fantasy,Drama,Adventure,Action,Genre_List
tt5317732,The Little Prince,31.650218064516128,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,['Documentary']
tt3766354,The Equalizer 2,147.24179350649348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,"['Action', 'Crime', 'Thriller']"
tt1690953,Despicable Me 2,1183.1800460526315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt2709768,The Secret Life of Pets,1080.4033333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt2709692,Dr. Seuss’ The Grinch,586.1365693333332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt3470600,Sing,743.3114813333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,"['Animation', 'Comedy', 'Family']"
tt3469046,Despicable Me 3,1276.7958586666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1375670,Grown Ups,262.964,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,['Comedy']
tt0493464,Wanted,356.55528000000015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,"['Action', 'Crime', 'Thriller']"
tt6911608,Mamma Mia: Here We Go Again!,432.3041693333333,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"['Comedy', 'Musical', 'Romance']"
tt0427327,Hairspray,170.43048133333338,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"['Comedy', 'Drama', 'Musical']"
tt1670345,Now You See Me,357.0256,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,"['Crime', 'Mystery', 'Thriller']"
tt4575576,Christopher Robin,163.33967733333338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1253864,Immortals,182.08324666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,"['Action', 'Drama', 'Fantasy']"
tt0472062,Charlie Wilson’s War,59.35036133333334,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"['Biography', 'Comedy', 'Drama']"
tt6324278,Abominable,151.54558799999995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1103153,Killers,27.430332,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,"['Action', 'Comedy', 'Romance']"
tt1638355,The Man From U.N.C.L.E.,44.69031333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
